package	category	n_papers	journals	years	top_versions	typical_pipeline_stages
Open Babel	md	6	PNAS=6	2022=1;2023=2;2025=3		machine learning=1;dimensionality reduction/clustering=1
SUMA	neuroimaging	6	PNAS=6	2021=1;2022=1;2023=1;2025=3		structure determination=1;normalisation=1
Manta	genomics	5	Nature=5	2022=1;2024=1;2025=2;2026=1	1.6.0=3;1.4.0=1;0.28.0=1	variant calling=1
HUMAnN	microbiome	5	PNAS=3;Nature=2	2023=1;2024=1;2025=2;2026=1	3.0=3;3.0.0=1	quantification=2;read trimming=1;alignment/mapping=1
Dask	workflow	5	Nature=2;PNAS=2;Cell=1	2021=1;2023=2;2024=1;2025=1	2022.4.1=1	alignment/mapping=1
METAL	statgen	5	Nature=3;PNAS=2	2022=3;2023=1;2024=1	3.0=1	
rstanarm	general	5	PNAS=4;Science=1	2021=2;2022=2;2024=1	2.21.1=1	differential/statistical testing=2
CDO	physical	5	PNAS=5	2021=2;2022=1;2024=1;2025=1	1.9.9r=1	
dcm2niix	neuroimaging	4	Nature=2;PNAS=2	2024=1;2025=2;2026=1		
JAX	general	4	PNAS=3;Nature=1	2022=1;2024=1;2025=1;2026=1		
NiBabel	neuroimaging	4	PNAS=2;Nature=1;Cell=1	2023=1;2024=1;2025=2	3.2.2=1;3.2.0=1	alignment/mapping=1;differential/statistical testing=1
DIPY	neuroimaging	4	PNAS=3;Nature=1	2021=1;2023=3		registration=1;machine learning=1
PySCF	md	4	PNAS=4	2023=1;2025=3		
BrainNet Viewer	neuroimaging	4	PNAS=4	2021=1;2023=1;2024=1;2025=1		visualisation=2;alignment/mapping=1;simulation/modelling=1
ASE	md	4	PNAS=4	2022=1;2024=2;2025=1		simulation/modelling=4;normalisation=1
SpikeInterface	neuro-tools	3	Nature=3	2024=1;2025=1;2026=1		quality control=1
MRIQC	neuroimaging	3	PNAS=2;Nature=1	2023=1;2025=2	0.16.1=1;0.15.1=1;0.15.0=1	quality control=3
COLOC	statgen	3	Nature=2;PNAS=1	2022=1;2023=1;2025=1	5.2.3=1	differential/statistical testing=1
Camino	neuroimaging	3	PNAS=2;Lancet=1	2021=1;2024=1;2025=1		
healpy	physical	2	Nature=1;PNAS=1	2024=1;2025=1		
AREPO	physical	2	Nature=1;PNAS=1	2023=1;2024=1		simulation/modelling=1
QSIPrep	neuroimaging	2	PNAS=2	2025=2		registration=1
ROOT	physical	1	Nature=1	2026=1		
Hail	statgen	1	Nature=1	2026=1	0.1=1	quality control=1
GDAL	physical	1	Nature=1	2025=1	2.2.3=1	
SExtractor	physical	1	Nature=1	2022=1		
Cloudy	physical	1	Nature=1	2022=1		normalisation=1
Brainstorm	neuroimaging	1	PNAS=1	2025=1		structure determination=1
yt	physical	1	PNAS=1	2025=1		
NCO	physical	1	PNAS=1	2025=1		
CIVET	neuroimaging	1	PNAS=1	2024=1		
