pmcid	doi	journal	year	version	commands	features	title
PMC10723126	10.1073/pnas.2307884120	PNAS	2023		FEAT	task fMRI GLM (FEAT/FILM)	Hippocampal contributions to novel spatial learning are both age-related and age-invariant.
PMC10723152	10.1073/pnas.2122178120	PNAS	2023	0.03		group mixed effects (FLAME)	The TLR2/TLR6 ligand FSL-1 mitigates radiation-induced hematopoietic injury in mice and nonhuman primates.
PMC10655214	10.1073/pnas.2302655120	PNAS	2023	5.0.9	flirt;mcflirt		Rats respond to aversive emotional arousal of human handlers with the activation of the basolateral and central amygdala.
PMC10589642	10.1073/pnas.2306990120	PNAS	2023	5.0.9			Hemispheric asymmetry in cortical thinning reflects intrinsic organization of the neurotransmitter systems and homotopic functional connecti
PMC10589709	10.1073/pnas.2219666120	PNAS	2023		epi_reg	distortion correction (topup/eddy);fieldmap (FUGUE/epi_reg)	Whole-brain, gray, and white matter time-locked functional signal changes with simple tasks and model-free analysis.
PMC10589678	10.1073/pnas.2307508120	PNAS	2023			distortion correction (topup/eddy)	The adaptive stochasticity hypothesis: Modeling equifinality, multifinality, and adaptation to adversity.
PMC10438384	10.1073/pnas.2303491120	PNAS	2023			distortion correction (topup/eddy)	Human white matter myelinates faster in utero than ex utero.
PMC10293846	10.1073/pnas.2212910120	PNAS	2023	6.0.0	BET;FILM;FLAME;FLIRT;FNIRT;MCFLIRT	GRF cluster correction;brain extraction (BET);group mixed effects (FLAME);linear registration (FLIRT);motion correction (MCFLIRT);nonlinear registration (FNIRT)	Brain-to-brain mechanisms underlying pain empathy and social modulation of pain in the patient-clinician interaction.
PMC10235949	10.1073/pnas.2217232120	PNAS	2023			TBSS;permutation inference (randomise)	Brain imaging and neuropsychological assessment of individuals recovered from a mild to moderate SARS-CoV-2 infection.
PMC10235977	10.1073/pnas.2218565120	PNAS	2023			distortion correction (topup/eddy)	Human and chimpanzee shared and divergent neurobiological systems for general and specific cognitive brain functions.
PMC10193980	10.1073/pnas.2217635120	PNAS	2023		FLIRT;FNIRT	linear registration (FLIRT);nonlinear registration (FNIRT)	MWF of the corpus callosum is a robust measure of remyelination: Results from the ReBUILD trial.
PMC10175835	10.1073/pnas.2218443120	PNAS	2023			GRF cluster correction;task fMRI GLM (FEAT/FILM)	Learning rules of engagement for social exchange within and between groups.
PMC10068819	10.1073/pnas.2120288120	PNAS	2023	5.0.9	FLIRT;mcflirt	linear registration (FLIRT)	Identifying causal subsequent memory effects.
PMC10068756	10.1073/pnas.2218949120	PNAS	2023		BET	brain extraction (BET);resting-state seed/dual regression	Human brain effects of DMT assessed via EEG-fMRI.
PMC10089159	10.1073/pnas.2207831120	PNAS	2023			diffusion fitting (dtifit/bedpostx)	Propofol disrupts alpha dynamics in functionally distinct thalamocortical networks during loss of consciousness.
PMC9992854	10.1073/pnas.2216399120	PNAS	2023				Robust machine learning segmentation for large-scale analysis of heterogeneous clinical brain MRI datasets.
PMC9963219	10.1073/pnas.2212256120	PNAS	2023				Brain aerobic glycolysis and resilience in Alzheimer disease.
PMC9907070	10.1073/pnas.2209307119	PNAS	2022				Information flow across the cortical timescale hierarchy during narrative construction.
PMC9897479	10.1073/pnas.2208867119	PNAS	2022				Compulsive drug-taking is associated with habenula-frontal cortex connectivity.
PMC9618143	10.1073/pnas.2200257119	PNAS	2022		FEAT;FLIRT	linear registration (FLIRT);task fMRI GLM (FEAT/FILM)	Neural event segmentation of continuous experience in human infants.
PMC9586323	10.1073/pnas.2205162119	PNAS	2022	6.0	BET;FAST;FIRST;FLIRT;FNIRT;bedpostx;fslmerge;probtrackx2;topup	brain extraction (BET);diffusion fitting (dtifit/bedpostx);distortion correction (topup/eddy);linear registration (FLIRT);nonlinear registration (FNIRT);subcortical segmentation (FIRST);tissue segmentation (FAST);tractography (probtrackx/xtract)	Morphological similarity of amygdala-ventral prefrontal pathways represents trait anxiety in younger and older adults.
PMC9586270	10.1073/pnas.2204135119	PNAS	2022	5.0.9	dtifit	diffusion fitting (dtifit/bedpostx);distortion correction (topup/eddy)	Prenatal exposure to maternal social disadvantage and psychosocial stress and neonatal white matter connectivity at birth.
PMC9564098	10.1073/pnas.2200511119	PNAS	2022	6.0	BET	brain extraction (BET)	Mind blanking is a distinct mental state linked to a recurrent brain profile of globally positive connectivity during ongoing mentation.
