test	outcome	seconds	walltime	mem	message
test_findcluster	FAIL	1	00:20:00	6gb	spm_bwlabel.c not compiled - see Makefile @ external/spm12/spm_bwlabel.m:25
test_firwsfiltering	FAIL	2	00:20:00	1gb	'nanmean' undefined near line 150, column 14  The 'nanmean' function belongs to the statistics package from Octave Forge but has not yet been implemented.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ private/preproc.m:150
test_ft_appenddata	PASS	2	00:10:00	1gb	
test_ft_appendfreq	PASS	6	00:10:00	1gb	
test_ft_appendlayout	FAIL	2	00:10:00	1gb	'nanmean' undefined near line 223, column 16  The 'nanmean' function belongs to the statistics package from Octave Forge but has not yet been implemented.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ ft_timelockanalysis.m:223
test_ft_appendsens	FAIL	1	00:10:00	1gb	strncmp: nonconformant cell arrays @ compat/octave/startsWith.m:81
test_ft_appendsource	PASS	3	00:10:00	1gb	
test_ft_appendspike	PASS	1	00:10:00	1gb	
test_ft_artifact_threshold	FAIL	2	00:10:00	1gb	mx_el_and: nonconformant arguments (op1 is 1x2, op2 is 1x3) @ fileio/private/ft_senstype.m:444
test_ft_average_sens	FAIL	1	00:10:00	1gb	strncmp: nonconformant cell arrays @ compat/octave/startsWith.m:81
test_ft_channelcombination	PASS	2	00:10:00	1gb	
test_ft_channelnormalise	PASS	1	00:10:00	1gb	
test_ft_checkdata	FAIL	1	00:20:00	1gb	'nanmean' undefined near line 1538, column 16  The 'nanmean' function belongs to the statistics package from Octave Forge but has not yet been implemented.  Please read <https://www.octave.org/missing.html> to learn how you can contribute missing functionality. @ utilities/ft_checkdata.m:1538
test_ft_colormap	FAIL	1	00:10:00	1gb	feval: function 'parula' not found @ plotting/ft_colormap.m:223
test_ft_combineplanar	FAIL	2	00:20:00	1gb	'meg_leadfield1' undefined near line 186, column 14 @ forward/ft_compute_leadfield.m:186
